0,광어초밥,ヒラメ寿司,Flatfish Sushi,3000,판매중,Flatfish Sushi.png
1,묵은지광어초밥,熟成キムチヒラメ寿司,Aged Kimchi Flatfish Sushi,3000,판매중,Aged Kimchi Flatfish Sushi.png
2,관어지느러미초밥,ヒラメえんがわ寿司,Flatfish Fin Sushi,3000,판매중,Flatfish Fin Sushi.png
3,점성어초밥,レッドドラム寿司,Red Drum Sushi,1500,판매중,Red Drum Sushi.png
4,초새우초밥,蒸しエビ寿司,Cooked Shrimp Sushi,1500,판매중,Cooked Shrimp Sushi.png
5,갑오징어초밥,コウイカ寿司,Cuttlefish Sushi,1500,판매중,Cuttlefish Sushi.png
6,오징어초밥,イカ寿司,Squid Sushi,1000,판매중,Squid Sushi.png
7,유부초밥,いなり寿司,Inari Sushi,1000,판매중,Inari Sushi.png
8,계란초밥,玉子寿司,Egg Sushi,1000,판매중,Egg Sushi.png
9,육사시미초밥,牛刺し寿司,Raw Beef Sushi,3000,판매중,Raw Beef Sushi.png
10,게살초밥,カニ寿司,Crab Meat Sushi,1000,판매중,Crab Meat Sushi.png
11,연어초밥,サーモン寿司,Salmon Sushi,3000,판매중,Salmon Sushi.png
12,연어뱃살초밥,サーモンハラス寿司,Salmon Belly Sushi,3000,판매중,Salmon Belly Sushi.png
13,치즈소라초밥,チーズつぶ貝寿司,Cheese Whelk Sushi,1500,판매중,Cheese Whelk Sushi.png
14,참치대뱃살초밥,大トロ寿司,Fatty Tuna Sushi,6000,판매중,Fatty Tuna Sushi.png
15,간장새우초밥,醤油漬けエビ寿司,Soy-marinated Shrimp Sushi,3000,판매중,Soy-marinated Shrimp Sushi.png
16,가리비치즈초밥,チーズホタテ寿司,Cheese Scallop Sushi,3000,판매중,Cheese Scallop Sushi.png
17,숭어초밥,ボラ寿司,Mullet Sushi,1500,판매중,Mullet Sushi.png
18,묵은지숭어초밥,熟成キムチボラ寿司,Aged Kimchi Mullet Sushi,1500,판매중,Aged Kimchi Mullet Sushi.png
19,연어파인초밥,サーモンパイン寿司,Salmon Pineapple Sushi,1500,판매중,Salmon Pineapple Sushi.png
20,스테이크초밥,ステーキ寿司,Steak Sushi,3000,판매중,Steak Sushi.png
21,아귀간군함,あん肝軍艦,Monkfish Liver Gunkan,6000,판매중,Monkfish Liver Gunkan.png
22,성게알군함,ウニ軍艦,Sea Urchin Gunkan,6000,판매중,Sea Urchin Gunkan.png
23,토핑연어초밥,トッピングサーモン寿司,Topped Salmon Sushi,3000,판매중,Topped Salmon Sushi.png
24,구운연어초밥,炙りサーモン寿司,Seared Salmon Sushi,3000,판매중,Seared Salmon Sushi.png
25,묵은지활어초밥,熟成キムチ白身魚寿司,Aged Kimchi Fresh Fish Sushi,3000,판매중,Aged Kimchi Fresh Fish Sushi.png
26,눈다랑어초밥,メバチマグロ寿司,Bigeye Tuna Sushi,3000,판매중,Bigeye Tuna Sushi.png
27,황새치뱃살초밥,メカジキ腹身寿司,Swordfish Belly Sushi,6000,판매중,Swordfish Belly Sushi.png
28,구운참치초밥,炙りマグロ寿司,Seared Tuna Sushi,3000,판매중,Seared Tuna Sushi.png
29,가리비초밥,ホタテ寿司,Scallop Sushi,3000,판매중,Scallop Sushi.png
30,마늘가리비초밥,ガーリックホタテ寿司,Garlic Scallop Sushi,3000,판매중,Garlic Scallop Sushi.png
31,한치초밥,ケンサキイカ寿司,Spear Squid Sushi,1500,판매중,Spear Squid Sushi.png
32,소라초밥,つぶ貝寿司,Whelk Sushi,1000,판매중,Whelk Sushi.png
33,생새우초밥,生エビ寿司,Raw Shrimp Sushi,1500,판매중,Raw Shrimp Sushi.png
34,생새우마늘구이초밥,ガーリック炙りエビ寿司,Garlic Grilled Shrimp Sushi,3000,판매중,Garlic Grilled Shrimp Sushi.png
35,계란새우초밥,玉子エビ寿司,Egg Shrimp Sushi,1500,판매중,Egg Shrimp Sushi.png
36,계란장어초밥,玉子うなぎ寿司,Egg Eel Sushi,3000,판매중,Egg Eel Sushi.png
37,구운관자초밥,炙り貝柱寿司,Seared Scallop Sushi,6000,판매중,Seared Scallop Sushi.png
38,구운소라초밥,炙りつぶ貝寿司,Seared Whelk Sushi,1500,판매중,Seared Whelk Sushi.png
39,가지소라초밥,ナスつぶ貝寿司,Eggplant Whelk Sushi,1500,판매중,Eggplant Whelk Sushi.png
40,도미뱃살조림초밥,鯛腹身煮付け寿司,Simmered Sea Bream Belly Sushi,6000,판매중,Simmered Sea Bream Belly Sushi.png
41,타코와사비초밥,たこわさび寿司,Octopus Wasabi Sushi,1500,판매중,Octopus Wasabi Sushi.png
42,날치알군함,とびこ軍艦,Flying Fish Roe Gunkan,1000,판매중,Flying Fish Roe Gunkan.png
43,육회초밥,ユッケ寿司,Beef Tartare Sushi,3000,판매중,Beef Tartare Sushi.png
44,우삼겹초밥,牛バラ寿司,Beef Belly Sushi,1500,판매중,Beef Belly Sushi.png
45,후톳마끼,太巻き,Futomaki,6000,판매중,Futomaki.png
46,치즈새우롤,チーズエビロール,Cheese Shrimp Roll,6000,판매중,Cheese Shrimp Roll.png
47,구운연어롤,炙りサーモンロール,Seared Salmon Roll,6000,판매중,Seared Salmon Roll.png
48,고구마롤,サツマイモロール,Sweet Potato Roll,6000,판매중,Sweet Potato Roll.png
49,새우튀김롤,エビフライロール,Shrimp Tempura Roll,6000,판매중,Shrimp Tempura Roll.png
50,김마끼,海苔巻き,Seaweed Roll,6000,판매중,Seaweed Roll.png
51,파인애플,パイナップル,Pineapple,8000,판매중,Pineapple.png
52,가라아게,唐揚げ,Karaage,12000,판매중,Karaage.png
53,새우튀김,エビフライ,Fried Shrimp,3000,판매중,Fried Shrimp.png
54,미니 모밀,ミニそば,Mini Soba,5000,판매중,Mini Soba.png
